FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
111,2017-04-21,2017,4,April,Qtr 2,21
112,2017-04-22,2017,4,April,Qtr 2,22
113,2017-04-23,2017,4,April,Qtr 2,23
114,2017-04-24,2017,4,April,Qtr 2,24
115,2017-04-25,2017,4,April,Qtr 2,25
116,2017-04-26,2017,4,April,Qtr 2,26
117,2017-04-27,2017,4,April,Qtr 2,27
118,2017-04-28,2017,4,April,Qtr 2,28
119,2017-04-29,2017,4,April,Qtr 2,29
120,2017-04-30,2017,4,April,Qtr 2,30
121,2017-05-01,2017,5,May,Qtr 2,1
122,2017-05-02,2017,5,May,Qtr 2,2
123,2017-05-03,2017,5,May,Qtr 2,3
124,2017-05-04,2017,5,May,Qtr 2,4
125,2017-05-05,2017,5,May,Qtr 2,5
126,2017-05-06,2017,5,May,Qtr 2,6
127,2017-05-07,2017,5,May,Qtr 2,7
128,2017-05-08,2017,5,May,Qtr 2,8
129,2017-05-09,2017,5,May,Qtr 2,9
130,2017-05-10,2017,5,May,Qtr 2,10
131,2017-05-11,2017,5,May,Qtr 2,11
132,2017-05-12,2017,5,May,Qtr 2,12
133,2017-05-13,2017,5,May,Qtr 2,13
134,2017-05-14,2017,5,May,Qtr 2,14
135,2017-05-15,2017,5,May,Qtr 2,15
136,2017-05-16,2017,5,May,Qtr 2,16
137,2017-05-17,2017,5,May,Qtr 2,17
138,2017-05-18,2017,5,May,Qtr 2,18
139,2017-05-19,2017,5,May,Qtr 2,19
140,2017-05-20,2017,5,May,Qtr 2,20
141,2017-05-21,2017,5,May,Qtr 2,21
142,2017-05-22,2017,5,May,Qtr 2,22
143,2017-05-23,2017,5,May,Qtr 2,23
144,2017-05-24,2017,5,May,Qtr 2,24
145,2017-05-25,2017,5,May,Qtr 2,25
146,2017-05-26,2017,5,May,Qtr 2,26
147,2017-05-27,2017,5,May,Qtr 2,27
148,2017-05-28,2017,5,May,Qtr 2,28
149,2017-05-29,2017,5,May,Qtr 2,29
150,2017-05-30,2017,5,May,Qtr 2,30
151,2017-05-31,2017,5,May,Qtr 2,31
152,2017-06-01,2017,6,June,Qtr 2,1
153,2017-06-02,2017,6,June,Qtr 2,2
154,2017-06-03,2017,6,June,Qtr 2,3
155,2017-06-04,2017,6,June,Qtr 2,4
156,2017-06-05,2017,6,June,Qtr 2,5
157,2017-06-06,2017,6,June,Qtr 2,6
158,2017-06-07,2017,6,June,Qtr 2,7
159,2017-06-08,2017,6,June,Qtr 2,8
160,2017-06-09,2017,6,June,Qtr 2,9
161,2017-06-10,2017,6,June,Qtr 2,10
162,2017-06-11,2017,6,June,Qtr 2,11
163,2017-06-12,2017,6,June,Qtr 2,12
164,2017-06-13,2017,6,June,Qtr 2,13
165,2017-06-14,2017,6,June,Qtr 2,14
166,2017-06-15,2017,6,June,Qtr 2,15
167,2017-06-16,2017,6,June,Qtr 2,16
168,2017-06-17,2017,6,June,Qtr 2,17
169,2017-06-18,2017,6,June,Qtr 2,18
170,2017-06-19,2017,6,June,Qtr 2,19
171,2017-06-20,2017,6,June,Qtr 2,20
172,2017-06-21,2017,6,June,Qtr 2,21
173,2017-06-22,2017,6,June,Qtr 2,22
174,2017-06-23,2017,6,June,Qtr 2,23
175,2017-06-24,2017,6,June,Qtr 2,24
176,2017-06-25,2017,6,June,Qtr 2,25
177,2017-06-26,2017,6,June,Qtr 2,26
178,2017-06-27,2017,6,June,Qtr 2,27
179,2017-06-28,2017,6,June,Qtr 2,28
180,2017-06-29,2017,6,June,Qtr 2,29
